sl,Station Number,Year Month Day Hours Minutes in YYYY,MM,DD,HH24,MI format in Local standard time,Mean global irradiance (over 1 minute) in W/sq m,Minimum 1 second global irradiance (over 1 minute) in W/sq m,Maximum 1 second global irradiance (over 1 minute) in W/sq m,Standard deviation of global irradiance (over 1 minute) in W/sq m,Uncertainty in mean global irradiance (over 1 minute) in W/sq m,Mean direct irradiance (over 1 minute) in W/sq m,Minimum 1 second direct irradiance (over 1 minute) in W/sq m,Maximum 1 second direct irradiance (over 1 minute) in W/sq m,Standard deviation of direct irradiance (over 1 minute) in W/sq m,Uncertainty in mean direct irradiance (over 1 minute) in W/sq m,Mean diffuse irradiance (over 1 minute) in W/sq m,Minimum 1 second diffuse irradiance (over 1 minute) in W/sq m,Maximum 1 second diffuse irradiance (over 1 minute) in W/sq m,Standard deviation of diffuse irradiance (over 1 minute) in W/sq m,Uncertainty in mean diffuse irradiance (over 1 minute) in W/sq m,Mean terrestrial irradiance (over 1 minute) in W/sq m,Minimum 1 second terrestrial irradiance (over 1 minute) in W/sq m,Maximum 1 second terrestrial irradiance (over 1 minute) in W/sq m,Standard deviation of terrestrial irradiance (over 1 minute) in W/sq m,Uncertainty in mean terrestrial irradiance (over 1 minute) in W/sq m,Mean direct horizontal irradiance (over 1 minute) in W/sq m,Minimum 1 second direct horizontal irradiance (over 1 minute) in W/sq m,Maximum 1 second direct horizontal irradiance (over 1 minute) in W/sq m,Standard deviation of direct horizontal irradiance (over 1 minute) in W/sq m,Uncertainty in mean direct horizontal irradiance (over 1 minute) in W/sq m,Sunshine-seconds-96 (duration of DNI exceeding 96 W/sq m over 1 minute) in seconds,Sunshine-seconds-120 (duration of DNI exceeding 120 W/sq m over 1 minute) in seconds,Sunshine-seconds-144 (duration of DNI exceeding 144 W/sq m over 1 minute) in seconds,Zenith distance in degrees
sl, 23034,2019,10,01,00,00,   0.00,   0.00,   0.00,   0.00,       ,   0.00,       ,   0.00,   0.00,       ,   0.00,   0.00,   0.00,   0.00,       , 289.58, 289.40, 289.78,   0.11,   5.32,   0.00,   0.00,   0.00,   0.00,       ,    0,    0,    0,   0.00
sl, 23034,2019,10,01,00,01,   0.00,   0.00,   0.00,   0.00,       ,   0.00,       ,   0.00,   0.00,       ,   0.00,   0.00,   0.00,   0.00,       , 289.92, 289.75, 290.09,   0.10,   5.29,   0.00,   0.00,   0.00,   0.00,       ,    0,    0,    0,   0.00
sl, 23034,2019,10,01,00,02,   0.00,   0.00,   0.00,   0.00,       ,   0.00,       ,   0.00,   0.00,       ,   0.00,   0.00,   0.00,   0.00,       , 289.89, 289.71, 290.20,   0.14,   5.28,   0.00,   0.00,   0.00,   0.00,       ,    0,    0,    0,   0.00
sl, 23034,2019,10,01,00,03,   0.00,   0.00,   0.00,   0.00,       ,   0.00,       ,   0.00,   0.00,       ,   0.00,   0.00,   0.00,   0.00,       , 289.91, 289.68, 290.28,   0.17,   5.26,   0.00,   0.00,   0.00,   0.00,       ,    0,    0,    0,   0.00
sl, 23034,2019,10,01,00,04,   0.00,   0.00,   0.00,   0.00,       ,   0.00,       ,   0.00,   0.00,       ,   0.00,   0.00,   0.00,   0.00,       , 289.79, 289.57, 290.11,   0.18,   5.26,   0.00,   0.00,   0.00,   0.00,       ,    0,    0,    0,   0.00
sl, 23034,2019,10,01,00,05,   0.00,   0.00,   0.00,   0.00,       ,   0.00,       ,   0.00,   0.00,       ,   0.00,   0.00,   0.00,   0.00,       , 290.10, 289.90, 290.26,   0.11,   5.23,   0.00,   0.00,   0.00,   0.00,       ,    0,    0,    0,   0.00
sl, 23034,2019,10,01,00,06,   0.00,   0.00,   0.00,   0.00,       ,   0.00,       ,   0.00,   0.00,       ,   0.00,   0.00,   0.00,   0.00,       , 290.05, 289.93, 290.24,   0.06,   5.22,   0.00,   0.00,   0.00,   0.00,       ,    0,    0,    0,   0.00
sl, 23034,2019,10,01,00,07,   0.00,   0.00,   0.00,   0.00,       ,   0.00,       ,   0.00,   0.00,       ,   0.00,   0.00,   0.00,   0.00,       , 289.90, 289.78, 290.03,   0.05,   5.22,   0.00,   0.00,   0.00,   0.00,       ,    0,    0,    0,   0.00
sl, 23034,2019,10,01,00,08,   0.00,   0.00,   0.00,   0.00,       ,   0.00,       ,   0.00,   0.00,       ,   0.00,   0.00,   0.00,   0.00,       , 289.94, 289.80, 290.10,   0.08,   5.21,   0.00,   0.00,   0.00,   0.00,       ,    0,    0,    0,   0.00
sl, 23034,2019,10,01,00,09,   0.00,   0.00,   0.00,   0.00,       ,   0.00,       ,   0.00,   0.00,       ,   0.00,   0.00,   0.00,   0.00,       , 289.65, 289.54, 289.80,   0.08,   5.21,   0.00,   0.00,   0.00,   0.00,       ,    0,    0,    0,   0.00
sl, 23034,2019,10,01,00,10,   0.00,   0.00,   0.00,   0.00,       ,   0.00,       ,   0.00,   0.00,       ,   0.00,   0.00,   0.00,   0.00,       , 289.72, 289.59, 289.86,   0.06,   5.20,   0.00,   0.00,   0.00,   0.00,       ,    0,    0,    0,   0.00
sl, 23034,2019,10,01,00,11,   0.00,   0.00,   0.00,   0.00,       ,   0.00,       ,   0.00,   0.00,       ,   0.00,   0.00,   0.00,   0.00,       , 289.54, 289.39, 289.77,   0.10,   5.19,   0.00,   0.00,   0.00,   0.00,       ,    0,    0,    0,   0.00
sl, 23034,2019,10,01,00,12,   0.00,   0.00,   0.00,   0.00,       ,   0.00,       ,   0.00,   0.00,       ,   0.00,   0.00,   0.00,   0.00,       , 289.48, 289.33, 289.64,   0.07,   5.17,   0.00,   0.00,   0.00,   0.00,       ,    0,    0,    0,   0.00
sl, 23034,2019,10,01,00,13,   0.00,   0.00,   0.00,   0.00,       ,   0.00,       ,   0.00,   0.00,       ,   0.00,   0.00,   0.00,   0.00,       , 289.45, 289.28, 289.56,   0.08,   5.16,   0.00,   0.00,   0.00,   0.00,       ,    0,    0,    0,   0.00
