site_id,c_id,con_type,polarity
9,9,pv_site_net,1
371,371,pv_site_net,1
156,156,pv_site_net,1
480,480,pv_site_net,1
25,25,pv_site_net,1
308,308,pv_site_net,1
486,486,pv_site_net,1
360,360,pv_site_net,1
186,186,pv_site_net,1
414,414,pv_site_net,1
196,196,pv_site_net,-1
297,297,pv_site_net,1
86,86,pv_site_net,1
18,18,pv_site_net,1
149,149,pv_site,1
321,321,pv_site_net,1
408,408,pv_site_net,1
396,396,pv_site_net,1
455,455,pv_site_net,1
355,355,pv_site_net,1
365,365,pv_site_net,1
348,348,pv_site_net,-1
482,482,pv_site_net,-1
129,129,pv_site_net,1
427,427,pv_site_net,1
359,359,pv_site_net,1
342,342,pv_site_net,1
446,446,pv_site_net,1
152,152,pv_site_net,1
354,354,pv_site_net,-1
367,367,pv_site_net,1
399,399,pv_site_net,1
425,425,pv_site_net,1
172,172,pv_site_net,1
466,466,pv_site_net,1
48,48,pv_site_net,1
169,169,pv_site_net,1
226,226,pv_site_net,1
87,87,pv_site_net,1
119,119,pv_site_net,1
419,419,pv_site_net,1
22,22,pv_site_net,1
264,264,pv_site_net,-1
312,312,pv_site_net,1
206,206,pv_site_net,1
375,375,pv_site_net,1
460,460,pv_site_net,1
89,89,pv_site_net,1
200,200,pv_site_net,-1
164,164,pv_site_net,-1
195,195,pv_site_net,1
218,218,pv_site_net,1
17,17,pv_site_net,1
91,91,pv_site_net,1
277,277,pv_site_net,1
499,499,pv_site_net,1
234,234,pv_site_net,1
194,194,pv_site_net,1
198,198,pv_site_net,1
309,309,pv_site_net,1
108,108,pv_site_net,-1
265,265,pv_site_net,1
364,364,pv_site_net,1
157,157,pv_site_net,1
362,362,pv_site_net,1
334,334,pv_site_net,1
78,78,pv_site_net,1
60,60,pv_site_net,1
98,98,pv_site_net,1
386,386,pv_site_net,1
94,94,pv_site_net,1
134,134,pv_site_net,1
404,404,pv_site_net,-1
35,35,pv_site_net,1
158,158,pv_site_net,1
467,467,pv_site_net,-1
398,398,pv_site_net,1
492,492,pv_site_net,1
385,385,pv_site_net,1
31,31,pv_site_net,1
177,177,pv_site_net,-1
207,207,pv_site_net,-1
382,382,pv_site_net,1
100,100,pv_site_net,1
285,285,pv_site_net,1
173,173,pv_site_net,1
112,112,pv_site_net,1
368,368,pv_site_net,-1
293,293,pv_site_net,1
346,346,pv_site_net,1
464,464,pv_site_net,-1
135,135,pv_site_net,-1
53,53,pv_site_net,1
377,377,pv_site_net,1
313,313,pv_site_net,1
138,138,pv_site_net,1
104,104,pv_site_net,1
373,373,pv_site_net,1
357,357,pv_site_net,1
487,487,pv_site_net,-1
178,178,pv_site_net,1
336,336,pv_site_net,1
221,221,pv_site_net,1
203,203,pv_site_net,1
490,490,pv_site_net,1
314,314,pv_site_net,1
82,82,pv_site_net,1
20,20,pv_site_net,1
332,332,pv_site_net,1
141,141,pv_site_net,1
12,12,pv_site_net,1
289,289,pv_site_net,1
263,263,pv_site_net,1
247,247,pv_site_net,1
255,255,pv_site_net,1
181,181,pv_site_net,1
248,248,pv_site_net,1
37,37,pv_site_net,-1
298,298,pv_site_net,1
139,139,pv_site_net,1
92,92,pv_site_net,1
256,256,pv_site_net,1
233,233,pv_site_net,1
167,167,pv_site_net,1
102,102,pv_site_net,1
302,302,pv_site_net,1
283,283,pv_site_net,1
497,497,pv_site_net,1
99,99,pv_site_net,1
437,437,pv_site_net,1
292,292,pv_site_net,1
282,282,pv_site_net,1
132,132,pv_site_net,1
483,483,pv_site_net,1
232,232,pv_site_net,1
474,474,pv_site_net,1
320,320,pv_site_net,-1
115,115,pv_site_net,1
409,409,pv_site_net,1
369,369,pv_site_net,1
370,370,pv_site_net,1
131,131,pv_site_net,1
279,279,pv_site_net,-1
442,442,pv_site_net,1
391,391,pv_site_net,1
185,185,pv_site_net,-1
430,430,pv_site_net,-1
500,500,pv_site_net,1
187,187,pv_site_net,1
491,491,pv_site_net,1
180,180,pv_site_net,1
62,62,pv_site_net,1
209,209,pv_site_net,1
479,479,pv_site_net,-1
39,39,pv_site_net,1
444,444,pv_site_net,1
322,322,pv_site_net,1
56,56,pv_site_net,-1
280,280,pv_site_net,1
426,426,pv_site_net,1
421,421,pv_site_net,1
267,267,pv_site_net,1
417,417,pv_site_net,1
79,79,pv_site_net,1
493,493,pv_site_net,1
45,45,pv_site_net,1
454,454,pv_site_net,1
350,350,pv_site_net,1
415,415,pv_site_net,1
241,241,pv_site_net,1
192,192,pv_site_net,1
214,214,pv_site_net,1
422,422,pv_site_net,1
