site_id,ac_cap_w,dc_cap_w
9,5000.0,4950.0
371,5000.0,4950.0
156,5000.0,6300.0
480,4600.0,6250.0
25,5400.0,5900.0
308,4860.0,5310.0
486,5400.0,5900.0
360,4400.0,5000.0
186,4200.0,4500.0
414,5000.0,6600.0
196,6000.0,7375.0
297,5000.0,5605.0
86,3300.0,3510.0
18,4200.0,4400.0
149,3000.0,3120.0
321,4200.0,4130.0
408,5400.0,5900.0
396,5000.0,5310.0
455,5000.0,6510.0
355,3300.0,3245.0
365,3000.0,3540.0
348,3300.0,3245.0
482,4200.0,4130.0
129,4200.0,4200.0
427,3000.0,3180.0
359,5000.0,5015.0
342,5000.0,6000.0
446,4000.0,4160.0
152,4860.0,5310.0
354,5000.0,5015.0
367,5000.0,5015.0
399,5000.0,5015.0
425,4590.0,5015.0
172,3000.0,3120.0
466,5000.0,5015.0
48,4590.0,5015.0
169,4590.0,5015.0
226,5000.0,5015.0
87,5000.0,5015.0
119,5000.0,6615.0
419,2760.0,3300.0
22,5000.0,6480.0
264,5000.0,5100.0
312,2000.0,2160.0
206,3000.0,3600.0
375,5000.0,5500.0
460,5000.0,6600.0
89,3000.0,3000.0
200,1500.0,1520.0
164,5000.0,5015.0
195,5060.0,5500.0
218,1840.0,2120.0
17,5000.0,5500.0
91,5000.0,6270.0
277,5000.0,4950.0
499,4600.0,5000.0
234,5000.0,5100.0
194,2000.0,2160.0
198,4200.0,4130.0
309,2000.0,2160.0
108,2760.0,3240.0
265,5000.0,5130.0
364,2860.0000000000005,3510.0
157,5000.0,6300.0
362,2500.0,2360.0
334,5000.0,5400.0
78,5000.0,5900.0
60,5000.0,5225.0
98,5400.0,5900.0
386,5000.0,4950.0
94,1840.0,2120.0
134,5000.0,5310.0
404,3000.0,3120.0
35,2000.0,2200.0
158,2000.0,2080.0
467,5000.0,6490.0
398,5000.0,6575.0
492,5000.0,6490.0
385,5000.0,6490.0
31,5000.0,5015.0
177,4000.0,4160.0
207,4000.0,4160.0
382,4600.0,5000.0
100,5000.0,5015.0
285,2000.0,2080.0
173,5000.0,7320.0
